"Nome","População","Bandeira","Coat of Arms","Endereço"
"Belo Horizonte-MG","2 315 560","","","Avenida Afonso Pena, 1212- 2° andar – Belo Horizonte – MG – CEP: 30130-908"
"Brasília-DF","2817381","","","– Brasília – DF – CEP:"
"Zortéa-SC","2 991","","","Rua Otaviano Franceschi, 53 – Zortéa – SC – CEP: 89633-000"
"Zé Doca-MA","50 806","","","Avenida Militar, s/n – Zé Doca – MA – CEP: 65365-000"
"Zacarias-SP","2 692","","","Rua Castro Alves, 637 – Zacarias – SP – CEP: 15265-000"
"Zabelê-PB","2 075","","","Avenida Major Augusto Bezerra, 2 – Zabelê – PB – CEP: 58228-000"
"Xique-Xique-BA","46 562","","","Praça Dom máximo, 384 – 1º andar – Xique-Xique – BA – CEP: 47400-000"
"Xinguara-PA","45 086","","","Praça Vitória Régia, s/n – Xinguara – PA – CEP: 68555-010"
"Xexéu-PE","11 611","","","Avenida Floriano Gonçalves de Lima 104 – Xexéu – PE – CEP: 55555-000"
"Xaxim-SC","31 918","","","Rua Rui Barbosa, 347 – Xaxim – SC – CEP: 89825-000"
"Xavantina-SC","3 653","","","Rua Pref Octávio Urbano Simon, 163 – Centro – Xavantina – SC – CEP: 89780-000"
"Xapuri-AC","19 048","","","Rua 24 de Janeiro, 280 – Xapuri – AC – CEP: 69930-000"
"Xanxerê-SC","51 607","","","Rua Dr José de Miranda Ramos, 455 – Centro – Xanxerê – SC – CEP: 89820-000"
"Xangri-lá-RS","17 126","","","Rua Rio Jacuí, 854 – Xangri-lá – RS – CEP: 95588-000"
"Xambrê-PR","5 728","","","Avenida Alberto Byington, 505 – Xambrê – PR – CEP: 87535-000"
"Xambioá-TO","10 517","","","Avenida E Quadra 08 – Xambioá – TO – CEP: 77880-000"
"Witmarsum-SC","3 998","","","R, 7 de Setembro, 1520 – Witmarsum – SC – CEP: 89157-000"
"Westfália-RS","3 046","","","Rua Leopoldo Fiegenbaum, 488 – Westfalia – RS – CEP: 95893-000"
"Wenceslau Guimarães-BA","24 474","","","Rua Otaviano Santos Lisboa, 110 – Wenceslau Guimarães – BA – CEP: 45460-000"
"Wenceslau Braz-PR","19 188","","","Rua dos Expedicionários, 200 – Wenceslau Braz – PR – CEP: 84950-000"
"Wenceslau Braz-MG","2 356","","","Rua Osvaldo Reinaldo, 56 – Wenceslau Braz – MG – CEP: 37512-000"
"Wanderley-BA","12 968","","","Avenida Juscelino Kubitscheck, 80 – Wanderley – BA – CEP: 42940-000"
"Wanderlândia-TO","10522","","","Praça Antonio Neto das Flores, 814 – Wanderlândia – TO – CEP: 77860-000"
"Wall Ferraz-PI","4 280","","","Praça da Liberdade, 257 – Wall Ferraz – PI – CEP: 64548-000"
"Wagner-BA","9 503","","","Praça 2 de Julho, 04 – Wagner – BA – CEP: 46970-000"
"Votuporanga-SP","96634","","","Rua Pará, 3227 – Votuporanga – SP – CEP: 15502-236"
"Votorantim-SP","137 119","","","Avenida 31 de Março, 327 – Votorantim – SP – CEP: 18110-005"
"Volta Redonda-RJ","261 584","","","Praça Sávio Gama, 53 – Volta Redonda – RJ – CEP: 27295-620"
"Volta Grande-MG","5 118","","","Avenida Arthur Pedras, 120 – Volta Grande – MG – CEP: 36720-000"
